,index,dt,equity,balance
0,0,2021-11-16 02:34:00,0,0
1,1,2021-11-16 02:35:00,0,0
2,2,2021-11-16 02:36:00,0,0
3,3,2021-11-16 02:37:00,0,0
4,4,2021-11-16 02:38:00,0,0
5,5,2021-11-16 02:39:00,0,0
6,6,2021-11-16 02:40:00,0,0
7,7,2021-11-16 02:41:00,0,0
8,8,2021-11-16 02:42:00,0,0
9,9,2021-11-16 02:43:00,0,0
10,10,2021-11-16 02:44:00,0,0
11,11,2021-11-16 02:45:00,0,0
12,12,2021-11-16 02:46:00,0,0
13,13,2021-11-16 02:47:00,0,0
14,14,2021-11-16 02:48:00,0,0
15,15,2021-11-16 02:49:00,0,0
16,16,2021-11-16 02:50:00,0,0
17,17,2021-11-16 02:51:00,0,0
18,18,2021-11-16 02:52:00,0,0
19,19,2021-11-16 02:53:00,0,0
20,20,2021-11-16 02:54:00,0,0
21,21,2021-11-16 02:55:00,0,0
22,22,2021-11-16 02:56:00,0,0
23,23,2021-11-16 02:57:00,0,0
24,24,2021-11-16 02:58:00,0,0
25,25,2021-11-16 02:59:00,0,0
26,26,2021-11-16 03:00:00,0,0
27,27,2021-11-16 03:01:00,0,0
28,28,2021-11-16 03:02:00,0,0
29,29,2021-11-16 03:03:00,0,0
30,30,2021-11-16 03:04:00,0,0
31,31,2021-11-16 03:05:00,0,0
32,32,2021-11-16 03:06:00,0,0
33,33,2021-11-16 03:07:00,0,0
34,34,2021-11-16 03:08:00,0,0
35,35,2021-11-16 03:09:00,0,0
36,36,2021-11-16 03:10:00,0,0
37,37,2021-11-16 03:11:00,0,0
38,38,2021-11-16 03:12:00,0,0
39,39,2021-11-16 03:13:00,0,0
40,40,2021-11-16 03:14:00,0,0
41,41,2021-11-16 03:15:00,0,0
42,0,2021-11-16 03:16:00,0,0
43,1,2021-11-16 03:17:00,0,0
44,2,2021-11-16 03:18:00,0,0
45,3,2021-11-16 03:19:00,0,0
46,4,2021-11-16 03:20:00,0,0
47,5,2021-11-16 03:21:00,0,0
48,6,2021-11-16 03:22:00,0,0
49,7,2021-11-16 03:23:00,0,0
50,8,2021-11-16 03:24:00,0,0
51,9,2021-11-16 03:25:00,0,0
52,10,2021-11-16 03:26:00,0,0
53,11,2021-11-16 03:27:00,0,0
54,12,2021-11-16 03:28:00,0,0
55,13,2021-11-16 03:29:00,0,0
56,14,2021-11-16 03:30:00,0,0
57,15,2021-11-16 03:31:00,0,0
58,16,2021-11-16 03:32:00,0,0
59,17,2021-11-16 03:33:00,0,0
60,18,2021-11-16 03:34:00,0,0
61,19,2021-11-16 03:35:00,0,0
62,20,2021-11-16 03:36:00,0,0
63,21,2021-11-16 03:37:00,0,0
64,22,2021-11-16 03:38:00,0,0
65,23,2021-11-16 03:39:00,0,0
66,24,2021-11-16 03:40:00,0,0
67,25,2021-11-16 03:41:00,0,0
68,26,2021-11-16 03:42:00,0,0
69,27,2021-11-16 03:43:00,0,0
70,28,2021-11-16 03:44:00,0,0
71,29,2021-11-16 03:45:00,0,0
72,30,2021-11-16 03:46:00,0,0
73,31,2021-11-16 03:47:00,0,0
74,32,2021-11-16 03:48:00,0,0
75,33,2021-11-16 03:49:00,0,0
76,34,2021-11-16 03:50:00,0,0
77,35,2021-11-16 03:51:00,0,0
78,36,2021-11-16 03:52:00,0,0
79,37,2021-11-16 03:53:00,0,0
80,38,2021-11-16 03:54:00,0,0
81,39,2021-11-16 03:55:00,0,0
82,40,2021-11-16 03:56:00,0,0
83,41,2021-11-16 03:57:00,0,0
84,0,2021-11-16 03:58:00,0,0
85,1,2021-11-16 03:59:00,0,0
86,2,2021-11-16 04:00:00,0,0
87,3,2021-11-16 04:01:00,0,0
88,4,2021-11-16 04:02:00,0,0
89,5,2021-11-16 04:03:00,0,0
90,6,2021-11-16 04:04:00,-7.200000000000273,0
91,7,2021-11-16 04:05:00,-16.499999999998636,0
92,8,2021-11-16 04:06:00,-7.799999999999726,0
93,9,2021-11-16 04:07:00,0.8999999999991815,0
94,10,2021-11-16 04:08:00,4.800000000002456,0
95,11,2021-11-16 04:09:00,5.700000000001637,0
96,12,2021-11-16 04:10:00,3.9000000000032737,0
97,13,2021-11-16 04:11:00,10.80000000000382,0
98,14,2021-11-16 04:12:00,12.300000000002456,0
99,15,2021-11-16 04:13:00,13.500000000001364,0
100,16,2021-11-16 04:14:00,17.399999999997817,0
101,17,2021-11-16 04:15:00,20.100000000002183,22.799999999999727
102,18,2021-11-16 04:16:00,22.799999999999727,22.799999999999727
103,19,2021-11-16 04:17:00,22.799999999999727,22.799999999999727
104,20,2021-11-16 04:18:00,22.799999999999727,22.799999999999727
105,21,2021-11-16 04:19:00,22.799999999999727,22.799999999999727
106,22,2021-11-16 04:20:00,22.799999999999727,22.799999999999727
107,23,2021-11-16 04:21:00,22.799999999999727,22.799999999999727
108,24,2021-11-16 04:22:00,22.799999999999727,22.799999999999727
109,25,2021-11-16 04:23:00,22.799999999999727,22.799999999999727
110,26,2021-11-16 04:24:00,22.799999999999727,22.799999999999727
111,27,2021-11-16 04:25:00,22.799999999999727,22.799999999999727
112,28,2021-11-16 04:26:00,22.799999999999727,22.799999999999727
113,29,2021-11-16 04:27:00,22.799999999999727,22.799999999999727
114,30,2021-11-16 04:28:00,22.799999999999727,22.799999999999727
115,31,2021-11-16 04:29:00,22.799999999999727,22.799999999999727
116,32,2021-11-16 04:30:00,22.799999999999727,22.799999999999727
117,33,2021-11-16 04:31:00,22.799999999999727,22.799999999999727
118,34,2021-11-16 04:32:00,22.799999999999727,22.799999999999727
119,35,2021-11-16 04:33:00,-0.8999999999991815,22.799999999999727
120,36,2021-11-16 04:34:00,1.799999999998363,22.799999999999727
121,37,2021-11-16 04:35:00,15.0,22.799999999999727
122,38,2021-11-16 04:36:00,7.799999999999727,22.799999999999727
123,39,2021-11-16 04:37:00,-6.300000000001091,22.799999999999727
124,40,2021-11-16 04:38:00,-18.000000000004093,22.799999999999727
125,41,2021-11-16 04:39:00,-12.90000000000191,22.799999999999727
126,0,2021-11-16 04:40:00,0,0
127,1,2021-11-16 04:41:00,0,0
128,2,2021-11-16 04:42:00,0,0
129,3,2021-11-16 04:43:00,0,0
130,4,2021-11-16 04:44:00,0,0
131,5,2021-11-16 04:45:00,0,0
132,6,2021-11-16 04:46:00,0,0
133,7,2021-11-16 04:47:00,0,0
134,8,2021-11-16 04:48:00,0,0
135,9,2021-11-16 04:49:00,0,0
136,10,2021-11-16 04:50:00,0,0
137,11,2021-11-16 04:51:00,0,0
138,12,2021-11-16 04:52:00,0,0
139,13,2021-11-16 04:53:00,0,0
140,14,2021-11-16 04:54:00,0,0
141,15,2021-11-16 04:55:00,0,0
142,16,2021-11-16 04:56:00,0,0
143,17,2021-11-16 04:57:00,0,0
144,18,2021-11-16 04:58:00,0,0
145,19,2021-11-16 04:59:00,0,0
146,20,2021-11-16 05:00:00,0,0
147,21,2021-11-16 05:01:00,0,0
148,22,2021-11-16 05:02:00,0,0
149,23,2021-11-16 05:03:00,0,0
150,24,2021-11-16 05:04:00,0,0
151,25,2021-11-16 05:05:00,0,0
152,26,2021-11-16 05:06:00,0,0
153,27,2021-11-16 05:07:00,0,0
154,28,2021-11-16 05:08:00,0,0
155,29,2021-11-16 05:09:00,0,0
156,30,2021-11-16 05:10:00,0,0
157,31,2021-11-16 05:11:00,0,0
158,32,2021-11-16 05:12:00,0,0
159,33,2021-11-16 05:13:00,0,0
160,34,2021-11-16 05:14:00,0,0
161,35,2021-11-16 05:15:00,0,0
162,36,2021-11-16 05:16:00,0,0
163,37,2021-11-16 05:17:00,0,0
164,38,2021-11-16 05:18:00,0,0
165,39,2021-11-16 05:19:00,0,0
166,40,2021-11-16 05:20:00,0,0
167,41,2021-11-16 05:21:00,0,0
168,0,2021-11-16 05:22:00,0,0
169,1,2021-11-16 05:23:00,0,0
170,2,2021-11-16 05:24:00,0,0
171,3,2021-11-16 05:25:00,0,0
172,4,2021-11-16 05:26:00,0,0
173,5,2021-11-16 05:27:00,0,0
174,6,2021-11-16 05:28:00,0,0
175,7,2021-11-16 05:29:00,0,0
176,8,2021-11-16 05:30:00,0,0
177,9,2021-11-16 05:31:00,0,0
178,10,2021-11-16 05:32:00,0,0
179,11,2021-11-16 05:33:00,0,0
180,12,2021-11-16 05:34:00,0,0
181,13,2021-11-16 05:35:00,0,0
182,14,2021-11-16 05:36:00,0,0
183,15,2021-11-16 05:37:00,0,0
184,16,2021-11-16 05:38:00,0,0
185,17,2021-11-16 05:39:00,0,0
186,18,2021-11-16 05:40:00,0,0
187,19,2021-11-16 05:41:00,0,0
188,20,2021-11-16 05:42:00,0,0
189,21,2021-11-16 05:43:00,0,0
190,22,2021-11-16 05:44:00,0,0
191,23,2021-11-16 05:45:00,0,0
192,24,2021-11-16 05:46:00,0,0
193,25,2021-11-16 05:47:00,0,0
194,26,2021-11-16 05:48:00,0,0
195,27,2021-11-16 05:49:00,0,0
196,28,2021-11-16 05:50:00,0,0
197,29,2021-11-16 05:51:00,0,0
198,30,2021-11-16 05:52:00,0,0
199,31,2021-11-16 05:53:00,0,0
200,32,2021-11-16 05:54:00,0,0
201,33,2021-11-16 05:55:00,0,0
202,34,2021-11-16 05:56:00,0,0
203,35,2021-11-16 05:57:00,0,0
204,36,2021-11-16 05:58:00,0,0
205,37,2021-11-16 05:59:00,0,0
206,38,2021-11-16 06:00:00,0,0
207,39,2021-11-16 06:01:00,0,0
208,40,2021-11-16 06:02:00,0,0
209,41,2021-11-16 06:03:00,0,0
210,0,2021-11-16 06:04:00,0,0
211,1,2021-11-16 06:05:00,0,0
212,2,2021-11-16 06:06:00,0,0
213,3,2021-11-16 06:07:00,0,0
214,4,2021-11-16 06:08:00,0,0
215,5,2021-11-16 06:09:00,0,0
216,6,2021-11-16 06:10:00,0,0
217,7,2021-11-16 06:11:00,0,0
218,8,2021-11-16 06:12:00,0,0
219,9,2021-11-16 06:13:00,0,0
220,10,2021-11-16 06:14:00,0,0
221,11,2021-11-16 06:15:00,0,0
222,12,2021-11-16 06:16:00,0,0
223,13,2021-11-16 06:17:00,0,0
224,14,2021-11-16 06:18:00,0,0
225,15,2021-11-16 06:19:00,0,0
226,16,2021-11-16 06:20:00,0,0
227,17,2021-11-16 06:21:00,0,0
228,18,2021-11-16 06:22:00,0,0
229,19,2021-11-16 06:23:00,0,0
230,20,2021-11-16 06:24:00,0,0
231,21,2021-11-16 06:25:00,0,0
232,22,2021-11-16 06:26:00,0,0
233,23,2021-11-16 06:27:00,0,0
234,24,2021-11-16 06:28:00,0,0
235,25,2021-11-16 06:29:00,0,0
236,26,2021-11-16 06:30:00,0,0
237,27,2021-11-16 06:31:00,0,0
238,28,2021-11-16 06:32:00,0,0
239,29,2021-11-16 06:33:00,0,0
240,30,2021-11-16 06:34:00,-1.4999999999986358,0
241,31,2021-11-16 06:35:00,-0.8999999999991815,0
242,32,2021-11-16 06:36:00,-7.200000000000273,0
243,33,2021-11-16 06:37:00,-4.800000000002456,0
244,34,2021-11-16 06:38:00,6.3000000000010905,0
245,35,2021-11-16 06:39:00,2.9999999999972715,0
246,36,2021-11-16 06:40:00,6.900000000000546,0
247,37,2021-11-16 06:41:00,11.399999999996451,0
248,38,2021-11-16 06:42:00,14.100000000000817,0
249,39,2021-11-16 06:43:00,18.599999999996726,20.700000000001637
250,40,2021-11-16 06:44:00,20.700000000001637,20.700000000001637
251,41,2021-11-16 06:45:00,20.700000000001637,20.700000000001637
252,0,2021-11-16 06:46:00,0,0
253,1,2021-11-16 06:47:00,0,0
254,2,2021-11-16 06:48:00,0,0
255,3,2021-11-16 06:49:00,0,0
256,4,2021-11-16 06:50:00,0,0
257,5,2021-11-16 06:51:00,0,0
258,6,2021-11-16 06:52:00,0,0
259,7,2021-11-16 06:53:00,0,0
260,8,2021-11-16 06:54:00,0,0
261,9,2021-11-16 06:55:00,0,0
262,10,2021-11-16 06:56:00,0,0
263,11,2021-11-16 06:57:00,0,0
264,12,2021-11-16 06:58:00,0,0
265,13,2021-11-16 06:59:00,0,0
266,14,2021-11-16 07:00:00,0,0
267,15,2021-11-16 07:01:00,0,0
268,16,2021-11-16 07:02:00,0,0
269,17,2021-11-16 07:03:00,0,0
270,18,2021-11-16 07:04:00,0,0
271,19,2021-11-16 07:05:00,0,0
272,20,2021-11-16 07:06:00,0,0
273,21,2021-11-16 07:07:00,0,0
274,22,2021-11-16 07:08:00,0,0
275,23,2021-11-16 07:09:00,0,0
276,24,2021-11-16 07:10:00,0,0
277,25,2021-11-16 07:11:00,0,0
278,26,2021-11-16 07:12:00,0,0
279,27,2021-11-16 07:13:00,0,0
280,28,2021-11-16 07:14:00,0,0
281,29,2021-11-16 07:15:00,0,0
282,30,2021-11-16 07:16:00,0,0
283,31,2021-11-16 07:17:00,0,0
284,32,2021-11-16 07:18:00,0,0
285,33,2021-11-16 07:19:00,0,0
286,34,2021-11-16 07:20:00,0,0
287,35,2021-11-16 07:21:00,0,0
288,36,2021-11-16 07:22:00,0,0
289,37,2021-11-16 07:23:00,0,0
290,38,2021-11-16 07:24:00,0,0
291,39,2021-11-16 07:25:00,0,0
292,40,2021-11-16 07:26:00,0,0
293,41,2021-11-16 07:27:00,0,0
294,0,2021-11-16 07:28:00,0,0
295,1,2021-11-16 07:29:00,0,0
296,2,2021-11-16 07:30:00,0,0
297,3,2021-11-16 07:31:00,0,0
298,4,2021-11-16 07:32:00,0,0
299,5,2021-11-16 07:33:00,0,0
300,6,2021-11-16 07:34:00,0,0
301,7,2021-11-16 07:35:00,0,0
302,8,2021-11-16 07:36:00,0,0
303,9,2021-11-16 07:37:00,0,0
304,10,2021-11-16 07:38:00,0,0
305,11,2021-11-16 07:39:00,0,0
306,12,2021-11-16 07:40:00,0,0
307,13,2021-11-16 07:41:00,0,0
308,14,2021-11-16 07:42:00,0,0
309,15,2021-11-16 07:43:00,0,0
310,16,2021-11-16 07:44:00,0,0
311,17,2021-11-16 07:45:00,0,0
312,18,2021-11-16 07:46:00,0,0
313,19,2021-11-16 07:47:00,0,0
314,20,2021-11-16 07:48:00,0,0
315,21,2021-11-16 07:49:00,0,0
316,22,2021-11-16 07:50:00,0,0
317,23,2021-11-16 07:51:00,0,0
318,24,2021-11-16 07:52:00,0,0
319,25,2021-11-16 07:53:00,0,0
320,26,2021-11-16 07:54:00,0,0
321,27,2021-11-16 07:55:00,0,0
322,28,2021-11-16 07:56:00,0,0
323,29,2021-11-16 07:57:00,0,0
324,30,2021-11-16 07:58:00,0,0
325,31,2021-11-16 07:59:00,0,0
326,32,2021-11-16 08:00:00,0,0
327,33,2021-11-16 08:01:00,0,0
328,34,2021-11-16 08:02:00,0,0
329,35,2021-11-16 08:03:00,0,0
330,36,2021-11-16 08:04:00,0,0
331,37,2021-11-16 08:05:00,0,0
332,38,2021-11-16 08:06:00,0,0
333,39,2021-11-16 08:07:00,0,0
334,40,2021-11-16 08:08:00,0,0
335,41,2021-11-16 08:09:00,0,0
336,0,2021-11-16 08:10:00,0,0
337,1,2021-11-16 08:11:00,0,0
338,2,2021-11-16 08:12:00,0,0
339,3,2021-11-16 08:13:00,0,0
340,4,2021-11-16 08:14:00,0,0
341,5,2021-11-16 08:15:00,0,0
342,6,2021-11-16 08:16:00,0,0
343,7,2021-11-16 08:17:00,0,0
344,8,2021-11-16 08:18:00,0,0
345,9,2021-11-16 08:19:00,0,0
346,10,2021-11-16 08:20:00,0,0
347,11,2021-11-16 08:21:00,0,0
348,12,2021-11-16 08:22:00,0,0
349,13,2021-11-16 08:23:00,0,0
350,14,2021-11-16 08:24:00,0,0
351,15,2021-11-16 08:25:00,0,0
352,16,2021-11-16 08:26:00,0,0
353,17,2021-11-16 08:27:00,0,0
354,18,2021-11-16 08:28:00,0,0
355,19,2021-11-16 08:29:00,0,0
356,20,2021-11-16 08:30:00,0,0
357,21,2021-11-16 08:31:00,0,0
358,22,2021-11-16 08:32:00,0,0
359,23,2021-11-16 08:33:00,0,0
360,24,2021-11-16 08:34:00,0,0
361,25,2021-11-16 08:35:00,0,0
362,26,2021-11-16 08:36:00,0,0
363,27,2021-11-16 08:37:00,0,0
364,28,2021-11-16 08:38:00,0,0
365,29,2021-11-16 08:39:00,0,0
366,30,2021-11-16 08:40:00,0,0
367,31,2021-11-16 08:41:00,0,0
368,32,2021-11-16 08:42:00,0,0
369,33,2021-11-16 08:43:00,0,0
370,34,2021-11-16 08:44:00,0,0
371,35,2021-11-16 08:45:00,0,0
372,36,2021-11-16 08:46:00,0,0
373,37,2021-11-16 08:47:00,0,0
374,38,2021-11-16 08:48:00,0,0
375,39,2021-11-16 08:49:00,0,0
376,40,2021-11-16 08:50:00,0,0
377,0,2021-11-16 08:51:00,0,0
378,1,2021-11-16 08:52:00,0,0
379,2,2021-11-16 08:53:00,0,0
380,3,2021-11-16 08:54:00,0,0
381,4,2021-11-16 08:55:00,0,0
382,5,2021-11-16 08:56:00,0,0
383,6,2021-11-16 08:57:00,0,0
384,7,2021-11-16 08:58:00,0,0
385,8,2021-11-16 08:59:00,0,0
386,9,2021-11-16 09:00:00,0,0
387,10,2021-11-16 09:01:00,0,0
388,11,2021-11-16 09:02:00,0,0
389,12,2021-11-16 09:03:00,0,0
390,13,2021-11-16 09:04:00,0,0
391,14,2021-11-16 09:05:00,0,0
392,15,2021-11-16 09:06:00,0,0
393,16,2021-11-16 09:07:00,0,0
394,17,2021-11-16 09:08:00,0,0
395,18,2021-11-16 09:09:00,0,0
396,19,2021-11-16 09:10:00,0,0
397,20,2021-11-16 09:11:00,0,0
398,21,2021-11-16 09:12:00,0,0
399,22,2021-11-16 09:13:00,0,0
400,23,2021-11-16 09:14:00,0,0
401,24,2021-11-16 09:15:00,0,0
402,25,2021-11-16 09:16:00,0,0
403,26,2021-11-16 09:17:00,0,0
404,27,2021-11-16 09:18:00,0,0
405,28,2021-11-16 09:19:00,0,0
406,29,2021-11-16 09:20:00,0,0
407,30,2021-11-16 09:21:00,0,0
408,31,2021-11-16 09:22:00,0,0
409,32,2021-11-16 09:23:00,0,0
410,33,2021-11-16 09:24:00,0,0
411,34,2021-11-16 09:25:00,0,0
412,35,2021-11-16 09:26:00,0,0
413,36,2021-11-16 09:27:00,0,0
414,37,2021-11-16 09:28:00,0,0
415,38,2021-11-16 09:29:00,0,0
416,39,2021-11-16 09:30:00,-1.4999999999986358,0
417,40,2021-11-16 09:31:00,-8.099999999999454,0
418,0,2021-11-16 09:32:00,0,0
419,1,2021-11-16 09:33:00,0,0
420,2,2021-11-16 09:34:00,0,0
421,3,2021-11-16 09:35:00,-7.200000000000273,0
422,4,2021-11-16 09:36:00,-8.999999999998636,0
423,5,2021-11-16 09:37:00,-4.799999999995634,0
424,6,2021-11-16 09:38:00,4.5000000000027285,0
425,7,2021-11-16 09:39:00,8.100000000006276,0
426,8,2021-11-16 09:40:00,26.100000000003547,35.10000000000218
427,9,2021-11-16 09:41:00,35.10000000000218,35.10000000000218
428,10,2021-11-16 09:42:00,35.10000000000218,35.10000000000218
429,11,2021-11-16 09:43:00,35.10000000000218,35.10000000000218
430,12,2021-11-16 09:44:00,35.10000000000218,35.10000000000218
431,13,2021-11-16 09:45:00,35.10000000000218,35.10000000000218
432,14,2021-11-16 09:46:00,35.10000000000218,35.10000000000218
433,15,2021-11-16 09:47:00,35.10000000000218,35.10000000000218
434,16,2021-11-16 09:48:00,35.10000000000218,35.10000000000218
435,17,2021-11-16 09:49:00,35.10000000000218,35.10000000000218
436,18,2021-11-16 09:50:00,35.10000000000218,35.10000000000218
437,19,2021-11-16 09:51:00,35.10000000000218,35.10000000000218
438,20,2021-11-16 09:52:00,35.10000000000218,35.10000000000218
439,21,2021-11-16 09:53:00,35.10000000000218,35.10000000000218
440,22,2021-11-16 09:54:00,35.10000000000218,35.10000000000218
441,23,2021-11-16 09:55:00,35.10000000000218,35.10000000000218
442,24,2021-11-16 09:56:00,35.10000000000218,35.10000000000218
443,25,2021-11-16 09:57:00,35.10000000000218,35.10000000000218
444,26,2021-11-16 09:58:00,35.10000000000218,35.10000000000218
445,27,2021-11-16 09:59:00,35.10000000000218,35.10000000000218
446,28,2021-11-16 10:00:00,35.10000000000218,35.10000000000218
447,29,2021-11-16 10:01:00,35.10000000000218,35.10000000000218
448,30,2021-11-16 10:02:00,35.10000000000218,35.10000000000218
449,31,2021-11-16 10:03:00,35.10000000000218,35.10000000000218
450,32,2021-11-16 10:04:00,35.10000000000218,35.10000000000218
451,33,2021-11-16 10:05:00,35.10000000000218,35.10000000000218
452,34,2021-11-16 10:06:00,35.10000000000218,35.10000000000218
453,35,2021-11-16 10:07:00,35.10000000000218,35.10000000000218
454,36,2021-11-16 10:08:00,35.10000000000218,35.10000000000218
455,37,2021-11-16 10:09:00,35.10000000000218,35.10000000000218
456,38,2021-11-16 10:10:00,35.10000000000218,35.10000000000218
457,39,2021-11-16 10:11:00,35.10000000000218,35.10000000000218
458,40,2021-11-16 10:12:00,35.10000000000218,35.10000000000218
459,0,2021-11-16 10:13:00,0,0
460,1,2021-11-16 10:14:00,0,0
461,2,2021-11-16 10:15:00,0,0
462,3,2021-11-16 10:16:00,0,0
463,4,2021-11-16 10:17:00,0,0
464,5,2021-11-16 10:18:00,0,0
465,6,2021-11-16 10:19:00,0,0
466,7,2021-11-16 10:20:00,0,0
467,8,2021-11-16 10:21:00,0,0
468,9,2021-11-16 10:22:00,0,0
469,10,2021-11-16 10:23:00,0,0
470,11,2021-11-16 10:24:00,0,0
471,12,2021-11-16 10:25:00,0,0
472,13,2021-11-16 10:26:00,0,0
473,14,2021-11-16 10:27:00,0,0
474,15,2021-11-16 10:28:00,0,0
475,16,2021-11-16 10:29:00,0,0
476,17,2021-11-16 10:30:00,0,0
477,18,2021-11-16 10:31:00,0,0
478,19,2021-11-16 10:32:00,0,0
479,20,2021-11-16 10:33:00,0,0
480,21,2021-11-16 10:34:00,0,0
481,22,2021-11-16 10:35:00,0,0
482,23,2021-11-16 10:36:00,0,0
483,24,2021-11-16 10:37:00,0,0
484,25,2021-11-16 10:38:00,0,0
485,26,2021-11-16 10:39:00,0,0
486,27,2021-11-16 10:40:00,0,0
487,28,2021-11-16 10:41:00,0,0
488,29,2021-11-16 10:42:00,0,0
489,30,2021-11-16 10:43:00,0,0
490,31,2021-11-16 10:44:00,0,0
491,32,2021-11-16 10:45:00,0,0
492,33,2021-11-16 10:46:00,0,0
493,34,2021-11-16 10:47:00,0,0
494,35,2021-11-16 10:48:00,0,0
495,36,2021-11-16 10:49:00,0,0
496,37,2021-11-16 10:50:00,0,0
497,38,2021-11-16 10:51:00,0,0
498,39,2021-11-16 10:52:00,0,0
499,40,2021-11-16 10:53:00,0,0
